id,original,surface,pronunciation,prefecture,city,lines,operator,opened_year,station_code,status,image,image_page,description,wikidata
2832,行田,行田,ぎょうだ,埼玉県,行田市,JR東日本 高崎線,JR東日本,1966,キヨ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Takasaki%20Line%20Gyoda%20Station%20West%20Exit.jpg,https://commons.wikimedia.org/wiki/File:JR_Takasaki_Line_Gyoda_Station_West_Exit.jpg,埼玉県行田市壱里山町（いちりやまちょう）にある、東日本旅客鉄道（JR東日本）高崎線の駅である。,Q845058
2833,行田市,行田市,ぎょうだし,埼玉県,行田市,秩父鉄道秩父本線,秩父鉄道,1921,CR06／ギョ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Gyodashi%20Station%20South%20Entrance%201.JPG,https://commons.wikimedia.org/wiki/File:Gyodashi_Station_South_Entrance_1.JPG,埼玉県行田市中央にある秩父鉄道秩父本線の駅である。駅番号はCR06。,Q5625685
2834,行徳,行徳,ぎょうとく,千葉県,市川市,東京地下鉄 東京メトロ東西線,東京地下鉄,1969,T20／トク,current,http://commons.wikimedia.org/wiki/Special:FilePath/TokyoMetro-T20-Gyotoku-station-platform-20220712-112627.jpg,https://commons.wikimedia.org/wiki/File:TokyoMetro-T20-Gyotoku-station-platform-20220712-112627.jpg,千葉県市川市行徳駅前二丁目にある、東京地下鉄（東京メトロ）東西線の駅である。駅番号はT 20。,Q128806
2835,玉桂寺前,玉桂寺前,ぎょくけいじまえ,滋賀県,甲賀市,信楽高原鐵道 信楽線,,1987,,current,http://commons.wikimedia.org/wiki/Special:FilePath/GYOKUKEIJIMAE%20Station.jpg,https://commons.wikimedia.org/wiki/File:GYOKUKEIJIMAE_Station.jpg,滋賀県甲賀市信楽町勅旨にある信楽高原鐵道信楽線の駅。,Q11572676
2836,銀座,銀座,ぎんざ,東京都,銀座,東京地下鉄 東京メトロ丸ノ内線／東京地下鉄 東京メトロ日比谷線／東京地下鉄 東京メトロ銀座線,東京地下鉄,1934,G09／H09／M16／キン,current,http://commons.wikimedia.org/wiki/Special:FilePath/Ginza-station-ExitA3-after-renewal.jpg,https://commons.wikimedia.org/wiki/File:Ginza-station-ExitA3-after-renewal.jpg,東京都中央区銀座四丁目にある、東京地下鉄（東京メトロ）の駅である。中央区最西端の駅である。,Q602372
2837,銀座一丁目,銀座一丁目,ぎんざいっちょうめ,東京都,銀座,東京地下鉄 東京メトロ有楽町線,東京地下鉄,1974,Y-19,current,http://commons.wikimedia.org/wiki/Special:FilePath/Ginza-itchome-station-Exit8.jpg,https://commons.wikimedia.org/wiki/File:Ginza-itchome-station-Exit8.jpg,東京都中央区銀座一丁目にある、東京地下鉄（東京メトロ）有楽町線の駅である。駅番号はY 19。,Q331185
2838,銀山,銀山,ぎんざん,北海道,仁木町,JR北海道 函館本線,,1905,S21,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Hakodate-Main-Line%20Ginzan%20Station%20building%20%2820180923%29.jpg,https://commons.wikimedia.org/wiki/File:JR_Hakodate-Main-Line_Ginzan_Station_building_%2820180923%29.jpg,北海道余市郡仁木町銀山2丁目にある北海道旅客鉄道（JR北海道）函館本線の駅である。駅番号はS21。電報略号はキン。事務管理コードは▲130109。,Q861896
2839,銀水,銀水,ぎんすい,福岡県,大牟田市,JR九州 鹿児島本線,JR九州,1926,JB26／キン,current,http://commons.wikimedia.org/wiki/Special:FilePath/Ginsui-STA%20Gate.jpg,https://commons.wikimedia.org/wiki/File:Ginsui-STA_Gate.jpg,福岡県大牟田市大字草木にある、九州旅客鉄道（JR九州）鹿児島本線の駅である。駅番号はJB26。,Q5359531
2840,杭瀬,杭瀬,くいせ,兵庫県,尼崎市,阪神電気鉄道 阪神本線,阪神電気鉄道,1905,HS07,current,http://commons.wikimedia.org/wiki/Special:FilePath/Hanshin%20Kuise%20Station.jpg,https://commons.wikimedia.org/wiki/File:Hanshin_Kuise_Station.jpg,兵庫県尼崎市杭瀬本町一丁目にある、阪神電気鉄道本線の駅。駅番号はHS 07。阪神本線で兵庫県最東端に位置する。,Q11523768
2841,くいな橋,くいな橋,くいなばし,京都府,伏見区,京都市交通局 烏丸線,京都市交通局,1988,K14,current,http://commons.wikimedia.org/wiki/Special:FilePath/KS-KuinabashiStation-Entrance1.jpg,https://commons.wikimedia.org/wiki/File:KS-KuinabashiStation-Entrance1.jpg,京都府京都市伏見区竹田中島町にある、京都市営地下鉄烏丸線の駅。駅番号はK14。,Q2580165
2842,空港第2ビル,空港第2ビル,くうこうだいにびる,千葉県,古込,JR東日本 成田線空港支線／京成電鉄 京成成田空港線／京成電鉄 京成本線,JR東日本／京成電鉄,1992,JO36／KS42／クニ,current,http://commons.wikimedia.org/wiki/Special:FilePath/%E7%A9%BA%E6%B8%AF%E7%AC%AC2%E3%83%93%E3%83%AB%E9%A7%85%20%2819526310040%29.jpg,https://commons.wikimedia.org/wiki/File:%E7%A9%BA%E6%B8%AF%E7%AC%AC2%E3%83%93%E3%83%AB%E9%A7%85_%2819526310040%29.jpg,千葉県成田市古込にある、東日本旅客鉄道（JR東日本）・京成電鉄の駅である。成田国際空港第2ターミナル内に位置し、両社とも「成田第2・第3ターミナル」の副名称を付与している。,Q841454
2843,空港通り,空港通り,くうこうどおり,香川県,高松市,ことでん 琴平線,,2006,K 07,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kukou-dori%20Station%202010-11-03.jpg,https://commons.wikimedia.org/wiki/File:Kukou-dori_Station_2010-11-03.jpg,香川県高松市寺井町にある、高松琴平電気鉄道琴平線の駅である。駅番号はK07。,Q11597483
2844,玖珂,玖珂,くが,山口県,岩国市,JR西日本 岩徳線,JR西日本,1934,クカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Kuga%20sta%20001.jpg,https://commons.wikimedia.org/wiki/File:JR_Kuga_sta_001.jpg,山口県岩国市玖珂町（くがまち）萃石にある、西日本旅客鉄道（JR西日本）岩徳線の駅である。,Q6441933
2845,久我原,久我原,くがはら,千葉県,大多喜町,いすみ鉄道いすみ線,いすみ鉄道,1960,クカ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kugahara-Station-2017111201.jpg,https://commons.wikimedia.org/wiki/File:Kugahara-Station-2017111201.jpg,千葉県夷隅郡大多喜町久我原にある、いすみ鉄道いすみ線の駅である。,Q6441938
2846,久が原,久が原,くがはら,東京都,大田区,東急電鉄 東急池上線,東急電鉄,1923,IK11,current,http://commons.wikimedia.org/wiki/Special:FilePath/Tokyu%20Kugahara%20sta%20003.jpg,https://commons.wikimedia.org/wiki/File:Tokyu_Kugahara_sta_003.jpg,東京都大田区南久が原二丁目にある、東急電鉄池上線の駅である。駅番号はIK11。,Q6441939
2847,久我山,久我山,くがやま,東京都,杉並区,京王電鉄 京王井の頭線,京王電鉄,1933,IN14,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kugayama%20Station.jpg,https://commons.wikimedia.org/wiki/File:Kugayama_Station.jpg,東京都杉並区久我山四丁目にある、京王電鉄井の頭線の駅である。井の頭北管区所属。駅番号はIN14。,Q4244277
2848,九鬼,九鬼,くき,三重県,尾鷲市,JR東海 紀勢本線,JR東海,1957,クキ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Central%20Kuki%20Station%20Platform%2C%20Mie%20Pref.jpg,https://commons.wikimedia.org/wiki/File:JR_Central_Kuki_Station_Platform%2C_Mie_Pref.jpg,三重県尾鷲市九鬼町にある、東海旅客鉄道（JR東海）紀勢本線の駅である。,Q5357746
2849,久喜,久喜,くき,埼玉県,久喜市,JR東日本 東北本線／東武鉄道 東武伊勢崎線,JR東日本／東武鉄道,1885,TI02／クキ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Tobu%20Kuki-STA%20Platform3-4.jpg,https://commons.wikimedia.org/wiki/File:Tobu_Kuki-STA_Platform3-4.jpg,埼玉県久喜市久喜中央二丁目にある、東日本旅客鉄道（JR東日本）・東武鉄道の駅である。,Q843719
2850,久々野,久々野,くぐの,岐阜県,高山市,JR東海 高山本線,JR東海,1934,クク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kuguno-eki3.JPG,https://commons.wikimedia.org/wiki/File:Kuguno-eki3.JPG,岐阜県高山市久々野町久々野にある、東海旅客鉄道（JR東海）高山本線の駅である。,Q5358166
2851,久々原,久々原,くぐはら,岡山県,早島町,JR西日本 宇野線／四国旅客鉄道 瀬戸大橋線,,1952,クク,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kuguhara%20Sta%2001.JPG,https://commons.wikimedia.org/wiki/File:Kuguhara_Sta_01.JPG,岡山県都窪郡早島町前潟にある、西日本旅客鉄道（JR西日本）宇野線の駅である。宇野方面に向かう「宇野みなと線」と、本四備讃線に直通する「瀬戸大橋線」の、双方の愛称区間に含まれている。,Q6441996
2852,久下田,久下田,くげた,栃木県,真岡市,真岡鐵道真岡線,真岡鐵道,1912,クケ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Moka%20Railway%20Kugeta%20station.jpg,https://commons.wikimedia.org/wiki/File:Moka_Railway_Kugeta_station.jpg,栃木県真岡市久下田にある真岡鐵道真岡線の駅。,Q6441968
2853,鵠沼,鵠沼,くげぬま,神奈川県,藤沢市,江ノ島電鉄線,江ノ電,1902,EN04,current,http://commons.wikimedia.org/wiki/Special:FilePath/Enoden-EN04-Kugenuma-station-entrance-west-20200315-112001.jpg,https://commons.wikimedia.org/wiki/File:Enoden-EN04-Kugenuma-station-entrance-west-20200315-112001.jpg,神奈川県藤沢市鵠沼松が岡一丁目にある、江ノ島電鉄の駅である。駅番号はEN04。,Q858839
2854,鵠沼海岸,鵠沼海岸,くげぬまかいがん,神奈川県,藤沢市,小田急電鉄 小田急江ノ島線,小田急電鉄,1929,OE15,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kugenuma-Kaigan%20Station.JPG,https://commons.wikimedia.org/wiki/File:Kugenuma-Kaigan_Station.JPG,神奈川県藤沢市鵠沼海岸二丁目にある、小田急電鉄江ノ島線の駅である。駅番号はOE 15。,Q4244329
2855,久下村,久下村,くげむら,兵庫県,丹波市,JR西日本 加古川線,JR西日本,1924,クケ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kugemura%20station%202020.jpg,https://commons.wikimedia.org/wiki/File:Kugemura_station_2020.jpg,兵庫県丹波市山南町谷川字弓貫にある、西日本旅客鉄道（JR西日本）加古川線の駅である。,Q3096704
2856,草江,草江,くさえ,山口県,宇部市,JR西日本 宇部線,,1923,サエ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kusae%20Station%20Platform.jpg,https://commons.wikimedia.org/wiki/File:Kusae_Station_Platform.jpg,山口県宇部市草江四丁目にある、西日本旅客鉄道（JR西日本）宇部線の駅。,Q6447740
2857,日下,日下,くさか,高知県,日高村,四国旅客鉄道 土讃線,四国旅客鉄道,1924,K09／クサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kusaka%20Station.JPG,https://commons.wikimedia.org/wiki/File:Kusaka_Station.JPG,高知県高岡郡日高村本郷にある、四国旅客鉄道（JR四国）土讃線の駅である。駅番号はK09。,Q6447751
2858,草津,草津,くさつ,広島県,西区,広島電鉄宮島線,広電,1922,M23,current,http://commons.wikimedia.org/wiki/Special:FilePath/Hiroden%20Kusatsu%20Sta.01.jpg,https://commons.wikimedia.org/wiki/File:Hiroden_Kusatsu_Sta.01.jpg,広島県広島市西区草津東二丁目にある広島電鉄宮島線の駅である。駅番号はM22。,Q6447812
2859,草津,草津,くさつ,滋賀県,草津市,JR西日本 東海道本線／JR西日本 琵琶湖線／JR西日本 草津線,JR西日本,1889,クサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20Kusatsu%20Station%20West%20Side.jpg,https://commons.wikimedia.org/wiki/File:JR_Kusatsu_Station_West_Side.jpg,滋賀県草津市渋川一丁目にある、西日本旅客鉄道（JR西日本）の駅である。,Q775813
2860,草津南,草津南,くさつみなみ,広島県,西区,広島電鉄宮島線,広電,1924,M24,current,http://commons.wikimedia.org/wiki/Special:FilePath/Hiroden%20Kusatsu-minami%20Sta.01.jpg,https://commons.wikimedia.org/wiki/File:Hiroden_Kusatsu-minami_Sta.01.jpg,広島県広島市西区草津南三丁目にある広島電鉄宮島線の駅である。駅番号はM23。,Q6447805
2861,草薙,草薙,くさなぎ,静岡県,静岡市,JR東海 東海道本線／JR東海 東海道線 (静岡地区),JR東海,1911,CA15／クサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20T%C5%8Dkaid%C5%8D%20Line%20Kusanagi%20Station%20North%20Entrance%20%28Gakuen%20Entrance%29.jpg,https://commons.wikimedia.org/wiki/File:JR_T%C5%8Dkaid%C5%8D_Line_Kusanagi_Station_North_Entrance_%28Gakuen_Entrance%29.jpg,静岡県静岡市清水区草薙一丁目にある、東海旅客鉄道（JR東海）東海道本線の駅である。駅番号はCA15。運行形態の詳細は「東海道線 (静岡地区)」を参照。,Q871079
2862,草薙,草薙,くさなぎ,静岡県,静岡市,静鉄 静岡清水線,静鉄,1908,S10,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kusanagi%20Station%20%28Shizuoka-Shimizu%20railway%29%20April%2013th%202008.JPG,https://commons.wikimedia.org/wiki/File:Kusanagi_Station_%28Shizuoka-Shimizu_railway%29_April_13th_2008.JPG,静岡県静岡市清水区草薙一丁目にある静岡鉄道静岡清水線の駅。駅番号はS10。東海旅客鉄道（JR東海）東海道本線の草薙駅へは徒歩3分ほど。静岡清水線各駅でJR駅に最も至近な駅である。,Q6447775
2863,草野,草野,くさの,兵庫県,丹波篠山市,JR西日本 福知山線,JR西日本,1958,クサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kusano%20stn%20Hyogo%20pref.jpg,https://commons.wikimedia.org/wiki/File:Kusano_stn_Hyogo_pref.jpg,兵庫県丹波篠山市草野字横道ノ坪にある、西日本旅客鉄道（JR西日本）福知山線の駅である。駅番号はJR-G66。アーバンネットワークおよび「JR宝塚線」の愛称区間に含まれている。,Q856525
2864,草野,草野,くさの,福島県,いわき市,JR東日本 常磐線,JR東日本,1897,クサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20J%C5%8Dban%20Line%20Kusano%20Station%20Platform%202%E3%83%BB3.jpg,https://commons.wikimedia.org/wiki/File:JR_J%C5%8Dban_Line_Kusano_Station_Platform_2%E3%83%BB3.jpg,福島県いわき市平泉崎字向原（むかいばら）にある、東日本旅客鉄道（JR東日本）常磐線の駅である。,Q2496615
2865,朽網,朽網,くさみ,福岡県,北九州市/小倉南区,JR九州 日豊本線,JR九州,1952,JF07／クミ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Platform%20of%20Kusami%20Station%202.jpg,https://commons.wikimedia.org/wiki/File:Platform_of_Kusami_Station_2.jpg,福岡県北九州市小倉南区朽網東一丁目にある、九州旅客鉄道（JR九州）日豊本線の駅である。駅番号はJF07。,Q5360727
2866,草道,草道,くさみち,鹿児島県,水引町,肥薩おれんじ鉄道線,肥薩おれんじ鉄道,1922,OR26／オレクサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Hisatsu%20orange%20railway%20Kusamichi%20station.jpg,https://commons.wikimedia.org/wiki/File:Hisatsu_orange_railway_Kusamichi_station.jpg,鹿児島県薩摩川内市水引町字浜田にある肥薩おれんじ鉄道線の駅である。駅番号はOR26。,Q11618235
2867,区界,区界,くざかい,岩手県,宮古市,JR東日本 山田線,JR東日本,1928,クヒ,current,http://commons.wikimedia.org/wiki/Special:FilePath/JR%20East%20Kuzakai%20Station%202022.jpg,https://commons.wikimedia.org/wiki/File:JR_East_Kuzakai_Station_2022.jpg,岩手県宮古市区界にある、東日本旅客鉄道（JR東日本）山田線の駅である。標高は744メートルで、山田線の最高地点であるのと同時に、東北地方では最高所に位置する鉄道駅でもある。,Q6449153
2868,久崎,久崎,くざき,兵庫県,佐用町,智頭急行智頭線,智頭急行,1994,クサ,current,http://commons.wikimedia.org/wiki/Special:FilePath/CK%20kuzaki%20sta%20enclosure.jpg,https://commons.wikimedia.org/wiki/File:CK_kuzaki_sta_enclosure.jpg,兵庫県佐用郡佐用町久崎にある、智頭急行智頭線の駅である。,Q6449155
2869,串,串,くし,愛媛県,伊予市,四国旅客鉄道 予讃線,四国旅客鉄道,1964,S10／クシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kushi%20Station%282015-10%29%2001.JPG,https://commons.wikimedia.org/wiki/File:Kushi_Station%282015-10%29_01.JPG,愛媛県伊予市双海町串にある四国旅客鉄道（JR四国）予讃線（愛ある伊予灘線）の駅である。駅番号はS10。標高20.2 m。,Q899182
2870,櫛ケ浜,櫛ケ浜,くしがはま,山口県,周南市,JR西日本 山陽本線／JR西日本 岩徳線,JR西日本,1928,クシ,current,http://commons.wikimedia.org/wiki/Special:FilePath/Kushigahama%20Station.jpg,https://commons.wikimedia.org/wiki/File:Kushigahama_Station.jpg,山口県周南市大字久米字院内にある、西日本旅客鉄道（JR西日本）の駅である。山陽本線を所属線として、岩徳線を加えた2路線が乗入れる。,Q5357953
